menu_item_id,quantity,event_type,actual_cost,predicted_cost,error,abs_error,pct_error,category,qty_range
ITEM-010,26,Birthday,1310.24,1233.4111074999994,-76.82889250000062,76.82889250000062,5.8637266836610555,Veg Main Course,1-50
ITEM-026,5,Birthday,1799.92,2131.2050999999983,331.28509999999824,331.28509999999824,18.405545802035547,Veg Main Course,1-50
ITEM-018,5,Wedding,1979.51,2414.0052125000007,434.49521250000066,434.49521250000066,21.94963463180285,Veg Main Course,1-50
ITEM-025,44,Wedding,20735.61,18394.977107347644,-2340.6328926523565,2340.6328926523565,11.287986669561958,Veg Main Course,1-50
ITEM-015,30,Wedding,1481.66,1534.6213500000006,52.96135000000049,52.96135000000049,3.5744604025215296,Veg Main Course,1-50
ITEM-002,11,Corporate,21475.64,35765.67290000003,14290.032900000027,14290.032900000027,66.54066141917087,Non-Veg Main Course,1-50
ITEM-021,14,Corporate,17004.77,15066.606934999978,-1938.1630650000225,1938.1630650000225,11.397761128201218,Veg Main Course,1-50
ITEM-019,30,Wedding,16420.97,18389.85875952383,1968.8887595238302,1968.8887595238302,11.99008803696633,Veg Main Course,1-50
ITEM-020,29,Wedding,13456.67,12714.409897077221,-742.260102922779,742.260102922779,5.515927067564108,Veg Main Course,1-50
ITEM-016,35,Wedding,1519.44,1888.1884250000016,368.7484250000016,368.7484250000016,24.26870590480714,Veg Main Course,1-50
ITEM-021,53,Corporate,58698.99,60579.12425000002,1880.1342500000246,1880.1342500000246,3.203009540709346,Veg Main Course,51-100
ITEM-015,31,Birthday,1685.26,1548.9611000000032,-136.29889999999682,136.29889999999682,8.087707534742226,Veg Main Course,1-50
ITEM-025,50,Birthday,22678.07,21414.70102691626,-1263.3689730837395,1263.3689730837395,5.570883999757208,Veg Main Course,1-50
ITEM-012,34,Birthday,15332.74,14378.59255583326,-954.1474441667397,954.1474441667397,6.222941523607259,Veg Main Course,1-50
ITEM-004,17,Wedding,70317601.44,61495256.94425008,-8822344.49574992,8822344.49574992,12.54642410304307,Non-Veg Main Course,1-50
ITEM-026,25,Corporate,9592.02,10599.244026037572,1007.2240260375711,1007.2240260375711,10.500645599545988,Veg Main Course,1-50
ITEM-014,33,Corporate,1641.77,1794.4389365384645,152.66893653846455,152.66893653846455,9.299045331469362,Veg Main Course,1-50
ITEM-003,28,Corporate,19099.71,27280.86330000002,8181.15330000002,8181.15330000002,42.83391370863757,Rice,1-50
ITEM-001,18,Wedding,74950.08,51766.271050000025,-23183.808949999977,23183.808949999977,30.932333828062593,Non-Veg Main Course,1-50
ITEM-018,11,Other,4631.13,4642.027767159084,10.897767159083742,10.897767159083742,0.23531550958586223,Veg Main Course,1-50
ITEM-002,9,Birthday,19066.66,29735.445449999996,10668.785449999996,10668.785449999996,55.95518800880698,Non-Veg Main Course,1-50
ITEM-016,26,Wedding,1378.99,1307.0156000000018,-71.97439999999824,71.97439999999824,5.219356195476272,Veg Main Course,1-50
ITEM-022,26,Wedding,9310.84,10616.290184722637,1305.4501847226365,1305.4501847226365,14.020756287538358,Veg Main Course,1-50
ITEM-014,6,Birthday,328.85,320.06320000000045,-8.786799999999573,8.786799999999573,2.671978105519104,Veg Main Course,1-50
ITEM-025,33,Corporate,13961.51,13986.37212297359,24.862122973589067,24.862122973589067,0.17807617495234446,Veg Main Course,1-50
ITEM-016,25,Other,1376.76,1191.3794000000005,-185.3805999999995,185.3805999999995,13.464990267003655,Veg Main Course,1-50
ITEM-003,32,Other,25084.69,29541.987649999992,4457.297649999993,4457.297649999993,17.768996347971587,Rice,1-50
ITEM-012,15,Corporate,5273.63,5257.923243634092,-15.706756365908404,15.706756365908404,0.29783576712640825,Veg Main Course,1-50
ITEM-015,11,Corporate,479.69,593.4715999999995,113.78159999999951,113.78159999999951,23.719819049802897,Veg Main Course,1-50
ITEM-004,15,Wedding,59537395.08,56212990.71705012,-3324404.362949878,3324404.362949878,5.583724915211521,Non-Veg Main Course,1-50
ITEM-034,13,Other,641.22,682.6185166666662,41.39851666666618,41.39851666666618,6.456211076801438,Veg Main Course,1-50
ITEM-005,57,Wedding,81949963.19,137272707.5197997,55322744.32979971,55322744.32979971,67.50795506952772,Breakfast,51-100
ITEM-010,141,Birthday,6034.41,6915.210750000002,880.8007500000022,880.8007500000022,14.59630270399264,Veg Main Course,101-200
ITEM-015,11,Wedding,460.41,615.4704375000005,155.06043750000043,155.06043750000043,33.67877272431103,Veg Main Course,1-50
ITEM-020,34,Other,13175.46,13595.529656997023,420.06965699702414,420.06965699702414,3.1882731760183263,Veg Main Course,1-50
ITEM-016,58,Corporate,2971.32,2920.4154000000017,-50.90459999999848,50.90459999999848,1.7131981745486344,Veg Main Course,51-100
ITEM-010,17,Birthday,814.26,930.4672750000002,116.20727500000021,116.20727500000021,14.271519539213545,Veg Main Course,1-50
ITEM-012,22,Wedding,8262.55,8841.022079305567,578.4720793055676,578.4720793055676,7.001132571731096,Veg Main Course,1-50
ITEM-015,169,Wedding,7579.01,7626.598550000007,47.58855000000676,47.58855000000676,0.6278992902767876,Veg Main Course,101-200
ITEM-025,47,Other,14677.93,20951.27699048716,6273.34699048716,6273.34699048716,42.73999801393766,Veg Main Course,1-50
ITEM-034,16,Corporate,738.29,771.1507000000015,32.86070000000154,32.86070000000154,4.450920370044501,Veg Main Course,1-50
ITEM-001,48,Wedding,216066.86,158911.34180000026,-57155.51819999973,57155.51819999973,26.452699965186575,Non-Veg Main Course,1-50
ITEM-001,29,Wedding,122794.24,89701.80440000012,-33092.43559999988,33092.43559999988,26.949501540137287,Non-Veg Main Course,1-50
ITEM-012,30,Birthday,12292.84,12854.28170246795,561.4417024679497,561.4417024679497,4.567225331721145,Veg Main Course,1-50
ITEM-014,56,Birthday,2764.26,2840.2251999999994,75.96519999999919,75.96519999999919,2.7481206543523107,Veg Main Course,51-100
ITEM-016,52,Wedding,2751.47,2425.9746124999992,-325.49538750000056,325.49538750000056,11.82987230462264,Veg Main Course,51-100
ITEM-005,43,Other,63507537.04,68003506.49334998,4495969.453349985,4495969.453349985,7.0794265734446835,Breakfast,1-50
ITEM-015,7,Corporate,287.55,362.5716500000001,75.02165000000008,75.02165000000008,26.08994957398716,Veg Main Course,1-50
ITEM-034,14,Birthday,712.09,677.0596999999999,-35.030300000000125,35.030300000000125,4.9193641253212546,Veg Main Course,1-50
ITEM-012,85,Wedding,33372.86,35589.41861250002,2216.558612500019,2216.558612500019,6.641799991070646,Veg Main Course,51-100
ITEM-011,29,Wedding,9335.33,12183.960911091264,2848.6309110912644,2848.6309110912644,30.514517548830778,Veg Main Course,1-50
ITEM-026,43,Corporate,20019.24,17168.761682941396,-2850.478317058605,2850.478317058605,14.238693961701868,Veg Main Course,1-50
ITEM-012,81,Wedding,31337.2,31788.558517797614,451.3585177976129,451.3585177976129,1.4403281652400752,Veg Main Course,51-100
ITEM-023,17,Birthday,9211.55,9359.480785714279,147.9307857142794,147.9307857142794,1.6059271861334892,Veg Main Course,1-50
ITEM-020,55,Birthday,23527.58,20402.773516455592,-3124.8064835444093,3124.8064835444093,13.281461516842825,Veg Main Course,51-100
